,M,t,x,u_actual,u_pred
5364,4.5,0.02,0.11,0.0,0.28421298
5365,4.5,0.02,0.12,0.0,0.23923673
5366,4.5,0.02,0.13,0.0,0.20077811
5367,4.5,0.02,0.14,0.0,0.16913745
5368,4.5,0.02,0.15,0.0,0.14389455
5369,4.5,0.02,0.16,0.0,0.12420808
5370,4.5,0.02,0.17,0.0,0.109092355
5371,4.5,0.02,0.18,0.0,0.09760222
5372,4.5,0.02,0.19,0.0,0.088923186
5373,4.5,0.02,0.2,0.0,0.082396746
5374,4.5,0.02,0.21,0.0,0.07750988
5375,4.5,0.02,0.22,0.0,0.0738711
5376,4.5,0.02,0.23,0.0,0.071184784
5377,4.5,0.02,0.24,0.0,0.069228396
5378,4.5,0.02,0.25,0.0,0.0678341
5379,4.5,0.02,0.26,0.0,0.06687462
5380,4.5,0.02,0.27,0.0,0.06625312
5381,4.5,0.02,0.28,0.0,0.06589524
5382,4.5,0.02,0.29,0.0,0.06574347
5383,4.5,0.02,0.3,0.0,0.0657531
5384,4.5,0.02,0.31,0.0,0.065889165
5385,4.5,0.02,0.32,0.0,0.066123955
5386,4.5,0.02,0.33,0.0,0.06643563
5387,4.5,0.02,0.34,0.0,0.06680666
5388,4.5,0.02,0.35,0.0,0.06722309
5389,4.5,0.02,0.36,0.0,0.06767372
5390,4.5,0.02,0.37,0.0,0.06814951
5391,4.5,0.02,0.38,0.0,0.06864308
5392,4.5,0.02,0.39,0.0,0.069148555
5393,4.5,0.02,0.4,0.0,0.069661126
5394,4.5,0.02,0.41,0.0,0.07017688
5395,4.5,0.02,0.42,0.0,0.07069271
5396,4.5,0.02,0.43,0.0,0.071206
5397,4.5,0.02,0.44,0.0,0.07171484
5398,4.5,0.02,0.45,0.0,0.07221742
5399,4.5,0.02,0.46,0.0,0.07271255
5400,4.5,0.02,0.47,0.0,0.07319917
5401,4.5,0.02,0.48,0.0,0.073676445
5402,4.5,0.02,0.49,0.0,0.07414376
5403,4.5,0.02,0.5,0.0,0.07460076
5404,4.5,0.02,0.51,0.0,0.075046994
5405,4.5,0.02,0.52,0.0,0.07548227
5406,4.5,0.02,0.53,0.0,0.0759065
5407,4.5,0.02,0.54,0.0,0.07631962
5408,4.5,0.02,0.55,0.0,0.07672161
5409,4.5,0.02,0.56,0.0,0.07711249
5410,4.5,0.02,0.57,0.0,0.07749243
5411,4.5,0.02,0.58,0.0,0.07786148
5412,4.5,0.02,0.59,0.0,0.07821988
5413,4.5,0.02,0.6,0.0,0.07856771
5414,4.5,0.02,0.61,0.0,0.078905225
5415,4.5,0.02,0.62,0.0,0.07923262
5416,4.5,0.02,0.63,0.0,0.07955008
5417,4.5,0.02,0.64,0.0,0.079857856
5418,4.5,0.02,0.65,0.0,0.08015614
5419,4.5,0.02,0.66,0.0,0.08044522
5420,4.5,0.02,0.67,0.0,0.08072526
5421,4.5,0.02,0.68,0.0,0.08099653
5422,4.5,0.02,0.69,0.0,0.08125925
5423,4.5,0.02,0.7,0.0,0.08151369
5424,4.5,0.02,0.71,0.0,0.08176
5425,4.5,0.02,0.72,0.0,0.08199847
5426,4.5,0.02,0.73,0.0,0.08222924
5427,4.5,0.02,0.74,0.0,0.08245265
5428,4.5,0.02,0.75,0.0,0.08266881
5429,4.5,0.02,0.76,0.0,0.082877934
5430,4.5,0.02,0.77,0.0,0.08308023
5431,4.5,0.02,0.78,0.0,0.083275996
5432,4.5,0.02,0.79,0.0,0.08346527
5433,4.5,0.02,0.8,0.0,0.083648324
5434,4.5,0.02,0.81,0.0,0.083825365
5435,4.5,0.02,0.82,0.0,0.08399648
5436,4.5,0.02,0.83,0.0,0.08416193
5437,4.5,0.02,0.84,0.0,0.08432186
5438,4.5,0.02,0.85,0.0,0.084476404
5439,4.5,0.02,0.86,0.0,0.084625706
5440,4.5,0.02,0.87,0.0,0.08476999
5441,4.5,0.02,0.88,0.0,0.08490934
5442,4.5,0.02,0.89,0.0,0.085044004
5443,4.5,0.02,0.9,0.0,0.085173994
5444,4.5,0.02,0.91,0.0,0.08529949
5445,4.5,0.02,0.92,0.0,0.085420676
5446,4.5,0.02,0.93,0.0,0.08553763
5447,4.5,0.02,0.94,0.0,0.085650444
5448,4.5,0.02,0.95,0.0,0.08575933
5449,4.5,0.02,0.96,0.0,0.08586434
5450,4.5,0.02,0.97,0.0,0.08596561
5451,4.5,0.02,0.98,0.0,0.086063236
5452,4.5,0.02,0.99,0.0,0.086157314
5453,4.5,0.02,1.0,0.0,0.086248
5455,4.5,0.03,0.01,0.7106405,0.39759436
5456,4.5,0.03,0.02,0.6037140999999999,0.6371196
5457,4.5,0.03,0.03,0.5330590999999999,0.6874991
5458,4.5,0.03,0.04,0.47708100000000003,0.6579219
5459,4.5,0.03,0.05,0.42726959999999997,0.6270097
5460,4.5,0.03,0.06,0.0,0.59085566
5461,4.5,0.03,0.07,0.0,0.549631
5462,4.5,0.03,0.08,0.0,0.50422376
5463,4.5,0.03,0.09,0.0,0.45556608
5464,4.5,0.03,0.1,0.0,0.40509483
5465,4.5,0.03,0.11,0.0,0.35465765
5466,4.5,0.03,0.12,0.0,0.30626163
5467,4.5,0.03,0.13,0.0,0.26172766
5468,4.5,0.03,0.14,0.0,0.2223767
5469,4.5,0.03,0.15,0.0,0.18886256
5470,4.5,0.03,0.16,0.0,0.16120005
5471,4.5,0.03,0.17,0.0,0.13893199
5472,4.5,0.03,0.18,0.0,0.121338695
5473,4.5,0.03,0.19,0.0,0.107621506
5474,4.5,0.03,0.2,0.0,0.097022556
5475,4.5,0.03,0.21,0.0,0.08888325
5476,4.5,0.03,0.22,0.0,0.08266241
5477,4.5,0.03,0.23,0.0,0.07792974
5478,4.5,0.03,0.24,0.0,0.07435008
5479,4.5,0.03,0.25,0.0,0.071664914
